Sno,temp,hum,soil,ir,ultrasonic,cdate
1,34,3,3,4,4,2022-10-23 06:20:25.065568
2,34,3,3,4,4,2022-10-23 06:21:06.443169
3,34,3,3,4,4,2022-10-23 06:21:38.650107
4,27.3,77,100,1,5,2022-10-23 06:22:57.808253
5,27.3,76,100,1,5,2022-10-23 06:23:06.352444
6,27.3,75,100,1,1101,2022-10-23 06:23:15.160389
7,nan,nan,100,1,0,2022-10-23 06:23:39.558443
8,27.4,75,100,1,6,2022-10-23 06:23:48.137684
9,27.4,74,100,1,7,2022-10-23 06:23:56.746125
10,27.4,74,100,1,7,2022-10-23 06:24:05.268714
11,27.4,74,100,1,79,2022-10-23 06:24:14.131460
12,27.3,74,100,1,12,2022-10-23 06:24:22.733821
13,27.4,74,100,1,914,2022-10-23 06:24:31.386919
14,27.4,76,100,1,1046,2022-10-23 06:24:40.002433
15,27.4,74,100,1,75,2022-10-23 06:24:48.587866
16,27.5,74,100,1,309,2022-10-23 06:24:57.206638
17,27.4,73,100,1,36,2022-10-23 06:25:05.790736
18,27.4,73,100,1,167,2022-10-23 06:25:14.309782
19,27.4,74,100,1,1111,2022-10-23 06:25:22.925455
20,27.5,73,100,1,119,2022-10-23 06:25:31.471481
21,27.5,73,100,1,1013,2022-10-23 06:25:40.069329
22,27.5,73,100,1,1018,2022-10-23 06:25:48.690714
23,nan,nan,100,1,45,2022-10-23 06:25:57.290347
24,nan,nan,100,1,8,2022-10-23 06:26:05.886963
25,nan,nan,100,1,161,2022-10-23 06:26:14.495194
26,nan,nan,100,1,158,2022-10-23 06:26:23.103777
27,28.1,76,100,1,334,2022-10-23 06:26:31.671545
28,28.1,75,100,1,859,2022-10-23 06:26:40.244860
29,28.3,73,100,1,920,2022-10-23 06:26:49.162755
30,28.4,72,100,1,928,2022-10-23 06:26:57.763534
31,28.5,71,100,1,1202,2022-10-23 06:27:06.420447
32,11,4,12,8,67,2022-10-28 16:13:42.766664
